Catalog Number,Cataloged Date,First Name,Last Name,Collection Object - Publish,Kingdom,Division,Class,Order,Family,Genus,Species,Determined Date,Determiner_first,Determiner_last,Start Date,Collectors - First Name,Collectors - Last Name,Locality,Latitude1,Longitude1,Continent,Country,Prep Type,Preparations - Count
#########,1964-09-01,Olof,Ryding,TRUE,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Rhynchosia,erlangeri,,,Mats Thulin,1967-10-27,J.M.C.,Westphal-Stevels,"Hararge Region, road Bedeno to Anya, 21 km from Bedeno",,,Africa,Ethiopia,Sheet,1
#########,1964-09-01,Olof,Ryding,TRUE,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Nervilia,stolziana,,,B. Pettersson,1911-12-13,A.F.,Stolz,"Rungwe District, ""Station Kyimbila""",,,Africa,"Tanzania, United Republic Of",Sheet,1
#########,1867-09-10,Olof,Ryding,TRUE,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,erlangeri,,,G.J.H. Amshoff,1966-02-16,Birgitta,de Wilde-Duyfjes,"Arsi Region, E. slope of Mt. Boruluccu, about 10 km. W of Ticcio",,,Africa,Ethiopia,Sheet,1
#########,1867-09-10,Olof,Ryding,TRUE,Plantae,Tracheophyta,Liliopsida,Alismatales,Cymodoceaceae,Halodule,wrightii,,,"R.R. Haynes, L.B. Holm-Nielsen",,C.,Wright,unknown,,,South America,Cuba,Sheet,1
#########,1867-09-10,Olof,Ryding,TRUE,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Homalanthus,fastuosus,,,H.-J. Esser,1917-06,Adolph Daniel Edward,Elmer,"Luzon Island, Laguna Province, Mt. Maquiling, Los Baños",,,Asia,Philippines,Sheet,1
#########,1867-09-10,Christian,Lange,TRUE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,crux-maltae,,,R. Spellenberg,2008-05-19,Ane,Belle,"State of Nevada, Ormsby County, Eagle Valley, 0.2 road miles N of highway 50 on Centennial Drive then NE 0.1 miles along a pole line road",39.19602778,-119.6962222,North America,United States,Sheet,1
#########,1871-09-01,Olof,Ryding,TRUE,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schomburgkia,thomsoniana,,,J.D. Ackerman,1888-05,Anne,Belle,unknown,,,North America,Cayman Islands,Sheet,1
#########,1846-06-27,Olof,Ryding,TRUE,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,condensatus,,,C. Fraile,,Ana,Belle,"Trentino-Alto Adige/Südtirol Region (""Tirolia australis""), Bolzano (Bozen), Monte Calvario (Kalvarienberg)",,,Europe,Italy,Sheet,1
#########,1871-09-01,Olof,Ryding,TRUE,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,secalinum,,,N. Jacobsen,1903-05-30,Ane,Bolle,"State of Baden-Württemberg, Grosselfingen",,,Europe,Germany,Sheet,1
#########,1871-09-01,Olof,Ryding,TRUE,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,schenckii,,,D.M. Spooner,1984-11-02,Ane,Belle,"State of Puebla, Esperanza, going 9 km SE, ca. 2-3 km past Boca del Monte  station on road to Cumbre de Aguila (Microonda station)",18.83333333,-97.33333333,North America,Mexico,Sheet,1
