Catalog Number,Cataloged Date,First Name,Last Name,Collection Object - Publish,Kingdom,Phylum,Class,Order,Family,Genus,Species,Determined Date,Determiner_first,Determiner_last,Start Date,Collectors - First Name,Collectors - Last Name,Locality,Latitude1,Longitude1,Continent,Country,Prep Type,Count
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,,Fleurantiidae,Jarvikia,arctica,,,,,Ane,Belle,East Greenland,,,North America,Greenland,,
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,,,,,,,,,Anne,Belle,"Store Raset, Stensiö Bjerg South, Gauss Peninsula",73.41,-23.25,,Greenland,,1
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,,,,,,,,,Ana,Belle,"Crossopterygian Ravine, Sederholm Bjerg, Paralleldal, Gauss Peninsula",73.51,-23.42333333,North America,Greenland,,
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,,,,,,,,,Ane,Bolle,"Smith Woodward Bjerg South, Gauss Peninsula",73.44166667,-23.33333333,North America,Greenland,,
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,,Rhynchodipteridae,Soederberghia,groenlandica,,,,,Ane,Belle,,,,,,specimen in matrix,
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,Osteolepiformes,Gyroptychiidae,Gyroptychius,groenlandicus,1950,Erik,Jarvik,,A.,Belle,"Northeast Corner, West Hesteskoen, Canning Land",71.65333333,-22.35333333,North America,Greenland,specimen in matrix,
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Sarcopterygii,Coelacanthiformes,,,,,,,,Ane,Belle,"Hird's Fox Farm, Clavering Island",74.13166667,-20.665,North America,Greenland,specimen in matrix,2
#########,2026-03-09,Inken,Mueller-Töwe,1,Animalia,Chordata,Amphibia,Temnospondyli,,Aquiloniferus,kochi,1999,Hans,Bjerring,,Eigil,Nielsen,"Stegocephalryg, Frebold Bjerg, Hold with Hope",74.02666667,-21.605,North America,Greenland,specimen in matrix,15
#########,2026-03-09,Ane,Schrøder,1,Animalia,Chordata,Placodermi,Antiarchi,Asterolepididae,Remigolepis,,,,,,,,East Greenland,,,North America,Greenland,specimen in matrix,
#########,2026-03-09,Inken,Mueller-Töwe,1,Animalia,Chordata,Amphibia,Temnospondyli,,Wetlugasaurus,groenlandicus,1934,Gunnar,Säve-Söderbergh,,Eigil,Nielsen,"Stegocephalryg, Frebold Bjerg, Hold with Hope",74.02666667,-21.605,North America,Greenland,specimen in matrix,2
#########,2026-03-09,Inken,Mueller-Töwe,1,Animalia,Chordata,Amphibia,Temnospondyli,,Wetlugasaurus,groenlandicus,1934,Gunnar,Säve-Söderbergh,,Eigil,Nielsen,"Stegocephalryg, Frebold Bjerg, Hold with Hope",74.02666667,-21.605,North America,Greenland,specimen in matrix,
#########,2026-03-09,Inken,Mueller-Töwe,1,Animalia,Chordata,Chondrichthyes,Helodontiformes,Helodontidae,Helodus,,,,,,,,Armagh,,,Europe,United Kingdom,specimen in matrix,
#########,2026-03-09,Inken,Mueller-Töwe,1,Animalia,Chordata,Chondrichthyes,Helodontiformes,Helodontidae,Helodus,gibberulus,,,,,,,Armagh,,,Europe,United Kingdom,specimen in matrix,
#########,2026-03-09,Inken,Mueller-Töwe,1,Animalia,Chordata,Mammalia,Cetacea,Squalodontidae,Squalodon,antverpiensis,1865,Pierre-Joseph,Van Beneden,,,,Antwerpen,,,Europe,Belgium,cast,14
#########,2026-03-09,Bent Erik Kramer,Lindow,1,Animalia,Chordata,Actinopterygii,Lampridiformes,Palaeocentrotidae,Bathysoma,lutkeni,1890-04-16,James,Davis,,Knud,Steenstrup,Limhamns Kalkbrott,55.56805556,12.93611111,Europe,Sweden,specimen in matrix,2
#########,2026-03-09,Bent Erik Kramer,Lindow,1,Animalia,Chordata,Actinopterygii,Lampridiformes,Palaeocentrotidae,Bathysoma,lutkeni,1890-04-16,James,Davis,,Kristian,Rørdam,,55.56805556,12.93611111,Europe,Sweden,specimen in matrix,2
#########,2026-03-09,Bent Erik Kramer,Lindow,1,Animalia,Chordata,Actinopterygii,Lampridiformes,Palaeocentrotidae,Bathysoma,lutkeni,1890-04-16,James,Davis,,Knud,Steenstrup,Limhamns Kalkbrott,55.56805556,12.93611111,Europe,Sweden,specimen in matrix,1
#########,2026-03-09,Bent Erik Kramer,Lindow,1,,,,,,Bathysoma,lutkeni,1890-04-16,James,Davis,,Kristian,Rørdam,Limhamns Kalkbrott,55.56805556,12.93611111,Europe,Sweden,specimen in matrix,1
#########,2026-03-09,Bent Erik Kramer,Lindow,1,,,,,,Fossilisaurus,fragmentarius,,James,Jameson,,Knud,Steenstrup,Limhamns Kalkbrott,55.56805556,12.93611111,Europe,Sweden,cast,1
